ID_SONDE;ID_DOSSIER;ALTITUDE_MIN;ALTITUDE_MAX;DIMENSION;FLUIDE;ETAT;DETERMINATION_PLANIMETRIQUE;REMARQUES;E;N
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504132.68;1121408.48
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504125.33;1121392.03
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504122.88;1121386.56
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504127.78;1121397.51
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504130.36;1121402.99
C.Be 34/11;25074;185.0;405.0;Profondeur : 220ml /Sondes : 4x32.6mm;Glycol / Alcoll 30 %;En service;Précis;;2504140.60;1121411.50
C.Bg. 22/01;476803;0.0;0.0;;Glycol / Alcoll 30 %;En service;Précis;;2504512.72;1117470.21
11703;0;0.0;0.0;Profondeur = 170 m;Inconnu;;;Objet non répertorié dans le cad. technique lors du transfert à la DCMO. Récupéré du SCG, dossier n° 11703. Reporté en 2001;2504019.33;1121370.15
;DD 99788;237.0;437.0;Diamètre 40mm;Autre;En service;Précis;;2495827.43;1119531.24
MN 34/01;22178;0.0;0.0;5 et 6 sondes long.150ml , diam 35mm;Glycol / Alcoll 30 %;En service;Précis;;2495196.74;1120050.49
MN 34/01;22178;0.0;0.0;5 et 6 sondes long.150ml , diam 35mm;Glycol / Alcoll 30 %;En service;Précis;;2495206.70;1120045.62
MN 34/01;22178;0.0;0.0;5 et 6 sondes long.150ml , diam 35mm;Glycol / Alcoll 30 %;En service;Précis;;2495216.78;1120036.89
MN 34/01;22178;0.0;0.0;5 et 6 sondes long.150ml , diam 35mm;Glycol / Alcoll 30 %;En service;Précis;;2495220.10;1120028.31
MN 34/01;22148;0.0;0.0;5 et 6 sondes long.150ml , diam 35mm;Glycol / Alcoll 30 %;En service;Précis;;2495213.87;1120033.16
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495068.99;1119728.05
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495077.21;1119729.41
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495076.50;1119720.81
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495085.28;1119722.79
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495083.19;1119714.07
;DD 99067;0.0;439.8;Diamètre 4x32mm Profondeur 220m;Glycol / Alcoll 30 %;En service;Précis;;2495073.07;1119707.75
12949;APA 23080;0.0;0.0;Diamètre 40mm Profondeur = 180 m;Inconnu;;;Objet non répertorié dans le cad. technique lors du transfert à la DCMO. Récupéré du SCG, dossier n° 12949. Reporté en 2005;2503005.03;1117113.23
